Name,Date,Days since incident,Form of Incident,Key Motivation,Fatalities,Injured,Details/Description,Extra-Parliamentary Groups and Networks,PB Role,City,State/Province/Region,Country,Source,Source 2,Source 3,Date added,Note,Contested,Attachments,Location,Notes,Party,Party Name (from Party)
"Hamilton, Ontario, CA",6/1/19,720,,,,,PEGIDA,"Proud Boys,Pegida",Coattended,Hamilton,Ontario,CA, https://twitter.com/VestsCanada/status/1137463765564133376,,,18/5/2021 8:39am,SOURCES,checked,,"Hamilton, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTkzOTQzNX0=,,
"Albany, New York, USA",5/11/19,741,,,0,0,Pro Life Rally For the Innocent,Proud Boys,Coattended,Albany,New York,USA,https://www.nationofchange.org/2019/05/13/patriot-prayers-joey-gibson-has-a-sad-day-in-albany/,,,18/5/2021 8:38am,SOURCES - CAN'T FIND IT ANYWHERE ELSE,checked,,"Albany, New York, USA",🔵 eyJpIjoiTmV3IFlvcmsiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6Ik5ldyBZb3JrLCBOWSwgVVNBIiwibGF0Ijo0MC42OTc0ODgxLCJsbmciOi03My45Nzk2ODEsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4OTE0NDJ9,,
"National Harbor, DC, USA",2/27/19,814,,,0,0,CPAC Conference,Proud Boys,Coattended,National Harbor,DC,USA,https://twitter.com/search?q=CPAC+2019&ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Esearch,https://en.wikipedia.org/wiki/2019_Conservative_Political_Action_Conference,,18/5/2021 8:36am,,,,"National Harbor, DC, USA",🔵 eyJpIjoiREMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjkwNiBTaWdnaW5zIFN0LCBDb2ZmZXl2aWxsZSwgS1MgNjczMzcsIFVTQSIsImxhdCI6MzcuMDM0NDU5NCwibG5nIjotOTUuNjU0MDEwMzk5OTk5OTksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3ODk0NzV9,,
"Toronto, Ontario, CA",2/23/19,818,,,0,0,Far-right group PEGIDA attempted a demonstration in Toronto but was met by counter-protesters.,"Proud Boys,Pegida",Coattended,Toronto,Ontario,CA,https://north-shore.info/2019/02/25/toronto-report-from-feb-23-anti-pegida-action/,https://humbernews.ca/2019/02/far-right-protest-opposed-by-counter-protesters-in-toronto/,,18/5/2021 8:38am,,,,"Toronto, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTkzMTQ0Nn0=,,
"Rancho Cucamonga, California, USA",2/5/19,836,,,0,0,Sexual Abuse of a Minor,Proud Boys,Individual Group Member Involvement,Rancho Cucamonga,California,USA,https://ktla.com/2019/02/06/porn-actress-director-accused-of-sexually-abusing-young-girl-over-4-month-period-in-rancho-cucamonga-police/,,,18/5/2021 8:43am,,,,"Rancho Cucamonga, California, USA",🔵 eyJpIjoiQ2FsaWZvcm5pYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiQ2FsaWZvcm5pYSwgVVNBIiwibGF0IjozNi43NzgyNjEsImxuZyI6LTExOS40MTc5MzI0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTEyMjI1NDMwfQ==,,
"Washington, DC, USA",1/29/19,843,,,0,0,Roger Stone Arraignment,Proud Boys,Individual Group Member Involvement,Washington,DC,USA,https://www.npr.org/2019/01/29/689654687/roger-stone-arraigned-in-d-c-federal-court,,,18/5/2021 8:36am,we shoud divide the actions that lead to the hearing and the hearing itself.,checked,,"Washington, DC, USA",🔵 eyJpIjoiREMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjkwNiBTaWdnaW5zIFN0LCBDb2ZmZXl2aWxsZSwgS1MgNjczMzcsIFVTQSIsImxhdCI6MzcuMDM0NDU5NCwibG5nIjotOTUuNjU0MDEwMzk5OTk5OTksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4MTU4NDZ9,,
"Huntington Woods, Michigan, USA",1/26/19,846,,,,,Drag Queen Story Time,Proud Boys,Targeted,Huntington Woods,Michigan,USA,https://www.freep.com/story/news/local/michigan/oakland/2019/01/23/drag-queen-story-time-huntington-woods-library/2564070002/,,,18/5/2021 8:36am,,checked,,"Huntington Woods, Michigan, USA",🔵 eyJpIjoiTWljaGlnYW4iLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6Ik1pY2hpZ2FuLCBVU0EiLCJsYXQiOjQ0LjMxNDg0NDMsImxuZyI6LTg1LjYwMjM2NDI5OTk5OTk5LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTExNzg3MTI2fQ==,,
"Portland, Oregon, USA",1/26/19,846,,,,,Anti Ice Protest,Proud Boys,Targeted,Portland,Oregon,USA,https://twitter.com/Johnnthelefty/status/1089292595497361408,,,18/5/2021 8:38am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4ODc0MzZ9,,
"Portland, Oregon, USA",1/23/19,849,,,,,City Hall Meeting,Proud Boys,Targeted,Portland,Oregon,USA,https://twitter.com/search?q=%40rockyhorrorrr,,,18/5/2021 8:58am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTMxMjA1NjB9,,
"Portland, Oregon, USA",1/22/19,850,,,,,Threat Issued Against Ted Wheeler,Proud Boys,Individual Group Member Involvement,Portland,Oregon,USA,https://www.splcenter.org/hatewatch/2019/01/25/proud-boy-threatens-portland-mayor-im-coming-you,,,18/5/2021 8:36am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3NzUzMTl9,,
